Rk,League,Team,Pts,P,W,D,L,GF,GA,GD,Year_End
3,Brasileirao,Corinthians,68,38,19,11,8,65,41,24,2010
4,Brasileirao,Grêmio,63,38,17,12,9,68,43,25,2010
5,Brasileirao,Atlético Paranaense,60,38,17,9,12,43,45,-2,2010
6,Brasileirao,Botafogo,59,38,14,17,7,54,42,12,2010
7,Brasileirao,Internacional,58,38,16,10,12,48,41,7,2010
8,Brasileirao,Santos,56,38,15,11,12,63,50,13,2010
9,Brasileirao,São Paulo,55,38,15,10,13,54,54,0,2010
10,Brasileirao,Palmeiras,50,38,12,14,12,42,43,-1,2010
11,Brasileirao,Vasco,49,38,11,16,11,43,45,-2,2010
12,Brasileirao,Ceará,47,38,10,17,11,35,44,-9,2010
13,Brasileirao,Atlético Mineiro,45,38,13,6,19,52,64,-12,2010
14,Brasileirao,Flamengo,44,38,9,17,12,41,44,-3,2010
15,Brasileirao,Avaí,43,38,11,10,17,49,58,-9,2010
16,Brasileirao,Atlético Goianiense,42,38,11,9,18,51,57,-6,2010
17,Brasileirao,Vitória,42,38,9,15,14,42,48,-6,2010
18,Brasileirao,Guarani,37,38,8,13,17,33,53,-20,2010
19,Brasileirao,Goiás,33,38,8,9,21,41,68,-27,2010
20,Brasileirao,Grêmio Barueri,28,38,7,10,21,39,64,-25,2010
1,Brasileirao,Corinthians,71,38,21,8,9,53,36,17,2011
2,Brasileirao,Vasco,69,38,19,12,7,57,40,17,2011
3,Brasileirao,Fluminense,63,38,20,3,15,60,51,9,2011
4,Brasileirao,Flamengo,61,38,15,16,7,59,47,12,2011
5,Brasileirao,Internacional,60,38,16,12,10,57,43,14,2011
6,Brasileirao,São Paulo,59,38,16,11,11,57,46,11,2011
7,Brasileirao,Figueirense,58,38,15,13,10,46,45,1,2011
8,Brasileirao,Coritiba,57,38,16,9,13,57,41,16,2011
9,Brasileirao,Botafogo,56,38,16,8,14,52,49,3,2011
10,Brasileirao,Santos,53,38,15,8,15,55,55,0,2011
11,Brasileirao,Palmeiras,50,38,11,17,10,43,39,4,2011
12,Brasileirao,Grêmio,48,38,13,9,16,49,57,-8,2011
13,Brasileirao,Atlético Goianiense,48,38,12,12,14,50,45,5,2011
14,Brasileirao,Bahia,46,38,11,13,14,43,49,-6,2011
15,Brasileirao,Atlético Mineiro,45,38,13,6,19,50,60,-10,2011
16,Brasileirao,Cruzeiro,43,38,11,10,17,48,51,-3,2011
17,Brasileirao,Atlético Paranaense,41,38,10,11,17,38,55,-17,2011
18,Brasileirao,Ceará,39,38,10,9,19,47,64,-17,2011
19,Brasileirao,América Mineiro,37,38,8,13,17,51,69,-18,2011
20,Brasileirao,Avaí,31,38,7,10,21,45,75,-30,2011
1,Brasileirao,Fluminense,77,38,22,11,5,61,33,28,2012
2,Brasileirao,Atlético Mineiro,72,38,20,12,6,64,37,27,2012
3,Brasileirao,Grêmio,71,38,20,11,7,56,33,23,2012
4,Brasileirao,São Paulo,66,38,20,6,12,59,37,22,2012
5,Brasileirao,Vasco,58,38,16,10,12,45,44,1,2012
6,Brasileirao,Corinthians,57,38,15,12,11,51,39,12,2012
7,Brasileirao,Botafogo,55,38,15,10,13,60,50,10,2012
8,Brasileirao,Santos,53,38,13,14,11,50,44,6,2012
9,Brasileirao,Cruzeiro,52,38,15,7,16,47,51,-4,2012
10,Brasileirao,Internacional,52,38,13,13,12,44,40,4,2012
11,Brasileirao,Flamengo,50,38,12,14,12,39,46,-7,2012
12,Brasileirao,Náutico,49,38,14,7,17,44,51,-7,2012
13,Brasileirao,Coritiba,48,38,14,6,18,53,60,-7,2012
14,Brasileirao,Ponte Preta,48,38,12,12,14,37,44,-7,2012
15,Brasileirao,Bahia,47,38,11,14,13,37,41,-4,2012
16,Brasileirao,Portuguesa,45,38,10,15,13,39,41,-2,2012
17,Brasileirao,Sport,41,38,10,11,17,39,56,-17,2012
18,Brasileirao,Palmeiras,34,38,9,7,22,39,54,-15,2012
19,Brasileirao,Atlético Goianiense,30,38,7,9,22,37,67,-30,2012
20,Brasileirao,Figueirense,30,38,7,9,22,39,72,-33,2012
1,Brasileirao,Cruzeiro,76,38,23,7,8,77,37,40,2013
2,Brasileirao,Grêmio,65,38,18,11,9,42,35,7,2013
3,Brasileirao,Atlético Paranaense,64,38,18,10,10,65,49,16,2013
4,Brasileirao,Botafogo,61,38,17,10,11,55,41,14,2013
5,Brasileirao,Vitória,59,38,16,11,11,59,53,6,2013
6,Brasileirao,Goiás,59,38,16,11,11,48,44,4,2013
7,Brasileirao,Santos,57,38,15,12,11,51,38,13,2013
8,Brasileirao,Atlético Mineiro,57,38,15,12,11,49,38,11,2013
9,Brasileirao,São Paulo,50,38,14,8,16,39,40,-1,2013
10,Brasileirao,Corinthians,50,38,11,17,10,27,22,5,2013
11,Brasileirao,Coritiba,48,38,12,12,14,42,45,-3,2013
12,Brasileirao,Bahia,48,38,12,12,14,37,45,-8,2013
13,Brasileirao,Internacional,48,38,11,15,12,51,52,-1,2013
14,Brasileirao,Criciúma,46,38,13,7,18,49,63,-14,2013
15,Brasileirao,Fluminense,46,38,12,10,16,43,47,-4,2013
16,Brasileirao,Flamengo,45,38,12,13,13,43,46,-3,2013
17,Brasileirao,Portuguesa,44,38,12,12,14,50,46,4,2013
18,Brasileirao,Vasco,44,38,11,11,16,50,61,-11,2013
19,Brasileirao,Ponte Preta,37,38,9,10,19,37,55,-18,2013
20,Brasileirao,Náutico,20,38,5,5,28,22,79,-57,2013
1,Brasileirao,Cruzeiro,80,38,24,8,6,67,38,29,2014
2,Brasileirao,São Paulo,70,38,20,10,8,59,40,19,2014
3,Brasileirao,Internacional,69,38,21,6,11,53,41,12,2014
4,Brasileirao,Corinthians,69,38,19,12,7,49,31,18,2014
5,Brasileirao,Atlético Mineiro,62,38,17,11,10,51,38,13,2014
6,Brasileirao,Fluminense,61,38,17,10,11,61,42,19,2014
7,Brasileirao,Grêmio,61,38,17,10,11,36,24,12,2014
8,Brasileirao,Atlético Paranaense,54,38,15,9,14,43,42,1,2014
9,Brasileirao,Santos,53,38,15,8,15,42,35,7,2014
10,Brasileirao,Flamengo,52,38,14,10,14,46,47,-1,2014
11,Brasileirao,Sport,52,38,14,10,14,36,46,-10,2014
12,Brasileirao,Goiás,47,38,13,8,17,38,40,-2,2014
13,Brasileirao,Figueirense,47,38,13,8,17,37,47,-10,2014
14,Brasileirao,Coritiba,47,38,12,11,15,42,45,-3,2014
15,Brasileirao,Chapecoense,43,38,11,10,17,39,44,-5,2014
16,Brasileirao,Palmeiras,40,38,11,7,20,34,59,-25,2014
17,Brasileirao,Vitória,38,38,10,8,20,37,54,-17,2014
18,Brasileirao,Bahia,37,38,9,10,19,31,43,-12,2014
19,Brasileirao,Botafogo,34,38,9,7,22,31,48,-17,2014
20,Brasileirao,Criciúma,32,38,7,11,20,28,56,-28,2014
1,Brasileirao,Corinthians,81,38,24,9,5,71,31,40,2015
2,Brasileirao,Atlético Mineiro,69,38,21,6,11,65,47,18,2015
3,Brasileirao,Grêmio,68,38,20,8,10,52,32,20,2015
4,Brasileirao,São Paulo,62,38,18,8,12,53,47,6,2015
5,Brasileirao,Internacional,60,38,17,9,12,39,38,1,2015
6,Brasileirao,Sport,59,38,15,14,9,53,38,15,2015
7,Brasileirao,Santos,58,38,16,10,12,59,41,18,2015
8,Brasileirao,Cruzeiro,55,38,15,10,13,44,35,9,2015
9,Brasileirao,Palmeiras,53,38,15,8,15,60,51,9,2015
10,Brasileirao,Atlético Paranaense,51,38,14,9,15,43,48,-5,2015
11,Brasileirao,Ponte Preta,51,38,13,12,13,41,40,1,2015
12,Brasileirao,Flamengo,49,38,15,4,19,45,53,-8,2015
13,Brasileirao,Fluminense,47,38,14,5,19,40,49,-9,2015
14,Brasileirao,Chapecoense,47,38,12,11,15,34,44,-10,2015
15,Brasileirao,Coritiba,44,38,11,11,16,31,42,-11,2015
16,Brasileirao,Figueirense,43,38,11,10,17,36,50,-14,2015
17,Brasileirao,Avaí,42,38,11,9,18,38,60,-22,2015
18,Brasileirao,Vasco,41,38,10,11,17,28,54,-26,2015
19,Brasileirao,Goiás,38,38,10,8,20,39,49,-10,2015
20,Brasileirao,Joinville,31,38,7,10,21,26,48,-22,2015
1,Brasileirao,Palmeiras,80,38,24,8,6,62,32,30,2016
2,Brasileirao,Santos,71,38,22,5,11,59,35,24,2016
3,Brasileirao,Flamengo,71,38,20,11,7,52,35,17,2016
4,Brasileirao,Atlético Mineiro,62,38,17,11,10,61,53,8,2016
5,Brasileirao,Botafogo,59,38,17,8,13,43,39,4,2016
6,Brasileirao,Atlético Paranaense,57,38,17,6,15,38,32,6,2016
7,Brasileirao,Corinthians,55,38,15,10,13,48,42,6,2016
8,Brasileirao,Ponte Preta,53,38,15,8,15,48,52,-4,2016
9,Brasileirao,Grêmio,53,38,14,11,13,41,44,-3,2016
10,Brasileirao,São Paulo,52,38,14,10,14,44,36,8,2016
11,Brasileirao,Chapecoense,52,38,13,13,12,49,56,-7,2016
12,Brasileirao,Cruzeiro,51,38,14,9,15,48,49,-1,2016
13,Brasileirao,Fluminense,50,38,13,11,14,45,45,0,2016
14,Brasileirao,Sport,47,38,13,8,17,49,55,-6,2016
15,Brasileirao,Coritiba,46,38,11,13,14,41,42,-1,2016
16,Brasileirao,Vitória,45,38,12,9,17,51,53,-2,2016
17,Brasileirao,Internacional,43,38,11,10,17,35,41,-6,2016
18,Brasileirao,Figueirense,37,38,8,13,17,30,50,-20,2016
19,Brasileirao,Santa Cruz,31,38,8,7,23,45,69,-24,2016
20,Brasileirao,América Mineiro,28,38,7,7,24,23,58,-35,2016
1,Brasileirao,Corinthians,72,38,21,9,8,50,30,20,2017
2,Brasileirao,Palmeiras,63,38,19,6,13,61,45,16,2017
3,Brasileirao,Santos,63,38,17,12,9,42,32,10,2017
4,Brasileirao,Grêmio,62,38,18,8,12,55,36,19,2017
5,Brasileirao,Cruzeiro,57,38,15,12,11,47,39,8,2017
6,Brasileirao,Flamengo,56,38,15,11,12,49,38,11,2017
7,Brasileirao,Vasco,56,38,15,11,12,40,47,-7,2017
8,Brasileirao,Chapecoense,54,38,15,9,14,47,49,-2,2017
9,Brasileirao,Atlético Mineiro,54,38,14,12,12,52,49,3,2017
10,Brasileirao,Botafogo,53,38,14,11,13,45,42,3,2017
11,Brasileirao,Atlético Paranaense,51,38,14,9,15,45,43,2,2017
12,Brasileirao,Bahia,50,38,13,11,14,50,48,2,2017
13,Brasileirao,São Paulo,50,38,13,11,14,48,49,-1,2017
14,Brasileirao,Fluminense,47,38,11,14,13,50,53,-3,2017
15,Brasileirao,Sport,45,38,12,9,17,46,58,-12,2017
16,Brasileirao,Vitória,43,38,11,10,17,50,58,-8,2017
17,Brasileirao,Coritiba,43,38,11,10,17,42,51,-9,2017
18,Brasileirao,Avaí,43,38,10,13,15,29,48,-19,2017
19,Brasileirao,Ponte Preta,39,38,10,9,19,37,52,-15,2017
20,Brasileirao,Atlético Goianiense,36,38,9,9,20,38,56,-18,2017
1,Brasileirao,Palmeiras,80,38,23,11,4,64,26,38,2018
2,Brasileirao,Flamengo,72,38,21,9,8,59,29,30,2018
3,Brasileirao,Internacional,69,38,19,12,7,51,29,22,2018
4,Brasileirao,Grêmio,66,38,18,12,8,48,27,21,2018
5,Brasileirao,São Paulo,63,38,16,15,7,46,34,12,2018
6,Brasileirao,Atlético Mineiro,59,38,17,8,13,56,43,13,2018
7,Brasileirao,Atlético Paranaense,57,38,16,9,13,54,37,17,2018
8,Brasileirao,Cruzeiro,53,38,14,11,13,34,34,0,2018
9,Brasileirao,Botafogo,51,38,13,12,13,38,46,-8,2018
10,Brasileirao,Santos,50,38,13,11,14,46,40,6,2018
11,Brasileirao,Bahia,48,38,12,12,14,39,41,-2,2018
12,Brasileirao,Fluminense,45,38,12,9,17,32,46,-14,2018
13,Brasileirao,Corinthians,44,38,11,11,16,34,35,-1,2018
14,Brasileirao,Chapecoense,44,38,11,11,16,34,50,-16,2018
15,Brasileirao,Ceará,44,38,10,14,14,32,38,-6,2018
16,Brasileirao,Vasco,43,38,10,13,15,41,48,-7,2018
17,Brasileirao,Sport,42,38,11,9,18,35,57,-22,2018
18,Brasileirao,América Mineiro,40,38,10,10,18,30,47,-17,2018
19,Brasileirao,Vitória,37,38,9,10,19,36,63,-27,2018
20,Brasileirao,Paraná,23,38,4,11,23,18,57,-39,2018
1,Brasileirao,Flamengo,90,38,28,6,4,86,37,49,2019
2,Brasileirao,Santos,74,38,22,8,8,60,33,27,2019
3,Brasileirao,Palmeiras,74,38,21,11,6,61,32,29,2019
4,Brasileirao,Grêmio,65,38,19,8,11,64,39,25,2019
5,Brasileirao,Athletico Paranaense,64,38,18,10,10,51,32,19,2019
6,Brasileirao,São Paulo,63,38,17,12,9,39,30,9,2019
7,Brasileirao,Internacional,57,38,16,9,13,44,39,5,2019
8,Brasileirao,Corinthians,56,38,14,14,10,42,34,8,2019
9,Brasileirao,Fortaleza,53,38,15,8,15,50,49,1,2019
10,Brasileirao,Goiás,52,38,15,7,16,46,64,-18,2019
11,Brasileirao,Bahia,49,38,12,13,13,44,43,1,2019
12,Brasileirao,Vasco,49,38,12,13,13,39,45,-6,2019
13,Brasileirao,Atlético Mineiro,48,38,13,9,16,45,49,-4,2019
14,Brasileirao,Fluminense,46,38,12,10,16,38,46,-8,2019
15,Brasileirao,Botafogo,43,38,13,4,21,31,45,-14,2019
16,Brasileirao,Ceará,39,38,10,9,19,36,41,-5,2019
17,Brasileirao,Cruzeiro,36,38,7,15,16,27,46,-19,2019
18,Brasileirao,CSA,32,38,8,8,22,24,58,-34,2019
19,Brasileirao,Chapecoense,32,38,7,11,20,31,52,-21,2019
20,Brasileirao,Avaí,20,38,3,11,24,18,62,-44,2019
1,Brasileirao,Flamengo,71,38,21,8,9,68,48,20,2020
2,Brasileirao,Internacional,70,38,20,10,8,61,35,26,2020
3,Brasileirao,Atlético Mineiro,68,38,20,8,10,64,45,19,2020
4,Brasileirao,São Paulo,66,38,18,12,8,59,41,18,2020
5,Brasileirao,Fluminense,64,38,18,10,10,55,42,13,2020
6,Brasileirao,Grêmio,59,38,14,17,7,53,40,13,2020
7,Brasileirao,Palmeiras,58,38,15,13,10,51,37,14,2020
8,Brasileirao,Santos,54,38,14,12,12,52,51,1,2020
9,Brasileirao,Athletico Paranaense,53,38,15,8,15,38,36,2,2020
10,Brasileirao,Red Bull Bragantino,53,38,13,14,11,50,40,10,2020
11,Brasileirao,Ceará,52,38,14,10,14,54,51,3,2020
12,Brasileirao,Corinthians,51,38,13,12,13,45,45,0,2020
13,Brasileirao,Atlético Goianiense,50,38,12,14,12,40,45,-5,2020
14,Brasileirao,Bahia,44,38,12,8,18,48,59,-11,2020
15,Brasileirao,Sport,42,38,12,6,20,31,50,-19,2020
16,Brasileirao,Fortaleza,41,38,10,11,17,34,44,-10,2020
17,Brasileirao,Vasco,41,38,10,11,17,37,56,-19,2020
18,Brasileirao,Goiás,37,38,9,10,19,41,63,-22,2020
19,Brasileirao,Coritiba,31,38,7,10,21,31,54,-23,2020
20,Brasileirao,Botafogo,27,38,5,12,21,32,62,-30,2020
1,Brasileirao,Atlético Mineiro,84,38,26,6,6,67,34,33,2021
2,Brasileirao,Flamengo,71,38,21,8,9,69,36,33,2021
3,Brasileirao,Palmeiras,66,38,20,6,12,58,43,15,2021
4,Brasileirao,Fortaleza,58,38,17,7,14,44,45,-1,2021
5,Brasileirao,Corinthians,57,38,15,12,11,40,36,4,2021
6,Brasileirao,Red Bull Bragantino,56,38,14,14,10,55,46,9,2021
7,Brasileirao,Fluminense,54,38,15,9,14,38,38,0,2021
8,Brasileirao,América Mineiro,53,38,13,14,11,41,37,4,2021
9,Brasileirao,Atlético Goianiense,53,38,13,14,11,33,36,-3,2021
10,Brasileirao,Santos,50,38,12,14,12,35,40,-5,2021
11,Brasileirao,Ceará,50,38,11,17,10,39,38,1,2021
12,Brasileirao,Internacional,48,38,12,12,14,44,42,2,2021
13,Brasileirao,São Paulo,48,38,11,15,12,31,39,-8,2021
14,Brasileirao,Athletico Paranaense,47,38,13,8,17,41,45,-4,2021
15,Brasileirao,Cuiabá,47,38,10,17,11,34,37,-3,2021
16,Brasileirao,Juventude,46,38,11,13,14,36,44,-8,2021
17,Brasileirao,Grêmio,43,38,12,7,19,44,51,-7,2021
18,Brasileirao,Bahia,43,38,11,10,17,42,51,-9,2021
19,Brasileirao,Sport,38,38,9,11,18,24,37,-13,2021
20,Brasileirao,Chapecoense,15,38,1,12,25,27,67,-40,2021
1,Brasileirao,Palmeiras,81,38,23,12,3,66,27,39,2022
2,Brasileirao,Internacional,73,38,20,13,5,58,31,27,2022
3,Brasileirao,Fluminense,70,38,21,7,10,63,41,22,2022
4,Brasileirao,Corinthians,65,38,18,11,9,44,36,8,2022
5,Brasileirao,Flamengo,62,38,18,8,12,60,39,21,2022
6,Brasileirao,Athletico Paranaense,58,38,16,10,12,48,48,0,2022
7,Brasileirao,Atlético Mineiro,58,38,15,13,10,45,37,8,2022
8,Brasileirao,Fortaleza,55,38,15,10,13,46,39,7,2022
9,Brasileirao,São Paulo,54,38,13,15,10,55,42,13,2022
10,Brasileirao,América Mineiro,53,38,15,8,15,40,40,0,2022
11,Brasileirao,Botafogo,53,38,15,8,15,41,43,-2,2022
12,Brasileirao,Santos,47,38,12,11,15,44,41,3,2022
13,Brasileirao,Goiás,46,38,11,13,14,40,53,-13,2022
14,Brasileirao,Red Bull Bragantino,44,38,11,11,16,49,59,-10,2022
15,Brasileirao,Coritiba,42,38,12,6,20,39,60,-21,2022
16,Brasileirao,Cuiabá,41,38,10,11,17,31,42,-11,2022
17,Brasileirao,Ceará,37,38,7,16,15,34,41,-7,2022
18,Brasileirao,Atlético Goianiense,36,38,8,12,18,39,57,-18,2022
19,Brasileirao,Avaí,35,38,9,8,21,34,60,-26,2022
20,Brasileirao,Juventude,22,38,3,13,22,29,69,-40,2022
1,Premier League,Manchester Utd,83,38,25,8,5,74,34,40,2003
2,Premier League,Arsenal,78,38,23,9,6,85,42,43,2003
3,Premier League,Newcastle Utd,69,38,21,6,11,63,48,15,2003
4,Premier League,Chelsea,67,38,19,10,9,68,38,30,2003
5,Premier League,Liverpool,64,38,18,10,10,61,41,20,2003
6,Premier League,Blackburn,60,38,16,12,10,52,43,9,2003
7,Premier League,Everton,59,38,17,8,13,48,49,-1,2003
8,Premier League,Southampton,52,38,13,13,12,43,46,-3,2003
9,Premier League,Manchester City,51,38,15,6,17,47,54,-7,2003
10,Premier League,Tottenham,50,38,14,8,16,51,62,-11,2003
11,Premier League,Middlesbrough,49,38,13,10,15,48,44,4,2003
12,Premier League,Charlton Ath,49,38,14,7,17,45,56,-11,2003
13,Premier League,Birmingham City,48,38,13,9,16,41,49,-8,2003
14,Premier League,Fulham,48,38,13,9,16,41,50,-9,2003
15,Premier League,Leeds United,47,38,14,5,19,58,57,1,2003
16,Premier League,Aston Villa,45,38,12,9,17,42,47,-5,2003
17,Premier League,Bolton,44,38,10,14,14,41,51,-10,2003
18,Premier League,West Ham,42,38,10,12,16,42,59,-17,2003
19,Premier League,West Brom,26,38,6,8,24,29,65,-36,2003
20,Premier League,Sunderland,19,38,4,7,27,21,65,-44,2003
1,Premier League,Arsenal,90,38,26,12,0,73,26,47,2004
2,Premier League,Chelsea,79,38,24,7,7,67,30,37,2004
3,Premier League,Manchester Utd,75,38,23,6,9,64,35,29,2004
4,Premier League,Liverpool,60,38,16,12,10,55,37,18,2004
5,Premier League,Newcastle Utd,56,38,13,17,8,52,40,12,2004
6,Premier League,Aston Villa,56,38,15,11,12,48,44,4,2004
7,Premier League,Charlton Ath,53,38,14,11,13,51,51,0,2004
8,Premier League,Bolton,53,38,14,11,13,48,56,-8,2004
9,Premier League,Fulham,52,38,14,10,14,52,46,6,2004
10,Premier League,Birmingham City,50,38,12,14,12,43,48,-5,2004
11,Premier League,Middlesbrough,48,38,13,9,16,44,52,-8,2004
12,Premier League,Southampton,47,38,12,11,15,44,45,-1,2004
13,Premier League,Portsmouth,45,38,12,9,17,47,54,-7,2004
14,Premier League,Tottenham,45,38,13,6,19,47,57,-10,2004
15,Premier League,Blackburn,44,38,12,8,18,51,59,-8,2004
16,Premier League,Manchester City,41,38,9,14,15,55,54,1,2004
17,Premier League,Everton,39,38,9,12,17,45,57,-12,2004
18,Premier League,Leicester City,33,38,6,15,17,48,65,-17,2004
19,Premier League,Leeds United,33,38,8,9,21,40,79,-39,2004
20,Premier League,Wolves,33,38,7,12,19,38,77,-39,2004
1,Premier League,Chelsea,95,38,29,8,1,72,15,57,2005
2,Premier League,Arsenal,83,38,25,8,5,87,36,51,2005
3,Premier League,Manchester Utd,77,38,22,11,5,58,26,32,2005
4,Premier League,Everton,61,38,18,7,13,45,46,-1,2005
5,Premier League,Liverpool,58,38,17,7,14,52,41,11,2005
6,Premier League,Bolton,58,38,16,10,12,49,44,5,2005
7,Premier League,Middlesbrough,55,38,14,13,11,53,46,7,2005
8,Premier League,Manchester City,52,38,13,13,12,47,39,8,2005
9,Premier League,Tottenham,52,38,14,10,14,47,41,6,2005
10,Premier League,Aston Villa,47,38,12,11,15,45,52,-7,2005
11,Premier League,Charlton Ath,46,38,12,10,16,42,58,-16,2005
12,Premier League,Birmingham City,45,38,11,12,15,40,46,-6,2005
13,Premier League,Fulham,44,38,12,8,18,52,60,-8,2005
14,Premier League,Newcastle Utd,44,38,10,14,14,47,57,-10,2005
15,Premier League,Blackburn,42,38,9,15,14,32,43,-11,2005
16,Premier League,Portsmouth,39,38,10,9,19,43,59,-16,2005
17,Premier League,West Brom,34,38,6,16,16,36,61,-25,2005
18,Premier League,Crystal Palace,33,38,7,12,19,41,62,-21,2005
19,Premier League,Norwich City,33,38,7,12,19,42,77,-35,2005
20,Premier League,Southampton,32,38,6,14,18,45,66,-21,2005
1,Premier League,Chelsea,91,38,29,4,5,72,22,50,2006
2,Premier League,Manchester Utd,83,38,25,8,5,72,34,38,2006
3,Premier League,Liverpool,82,38,25,7,6,57,25,32,2006
